filename,al10_drop,al10_last,al10_mean,al10_min,al10_p10,al10_slope,al10_std,al_drop,al_last,al_mean,al_min,al_p10,al_slope,al_std,mot_max,mot_mean,sf10_drop,sf10_last,sf10_mean,sf10_min,sf10_p10,sf10_slope,sf10_std,sf_drop,sf_last,sf_mean,sf_min,sf_p10,sf_slope,sf_std,worst_patch
exact-r1__28b269cb428b398ae0c461d34d9e6daeeb15dd1c__蘑菇力__v265__flag__6d808d89__c0.mp4,0.49242538,0.5169977,0.70903814,0.4928177,0.52051634,-0.020262390375137343,0.15088744,0.19728577,0.80365944,0.87640023,0.7933141,0.8045935,-0.008778635692219495,0.06262859,0.08050650358200073,0.038223158568143845,0.2501753,0.7643621,0.8354242,0.73506767,0.7546689,-0.010657606565434003,0.079087086,0.118607044,0.8766447,0.9146233,0.8725773,0.8743389,-0.006005857478488583,0.043709952,0.43058690428733826
base-props__edb1f0c36ee48806d99094bace7f3423c10bdc39__毒蘑菇__v925__eyemask__b5908fb5__c0.mp4,0.7178663,0.27396378,0.49745387,0.26668495,0.26844662,-0.03484508945890096,0.25464332,0.32090116,0.6688589,0.79817474,0.6688589,0.6716511,-0.016032387793299744,0.110374995,0.1865100860595703,0.10600243508815765,0.26412714,0.72562325,0.80650115,0.7204242,0.7279643,-0.012185519627431628,0.08960881,0.13682175,0.855369,0.9041772,0.855369,0.8563815,-0.006684394987675506,0.046891723,0.41581445932388306
base-noprop__90d2739dfb7858927d0f47919eb4bdb9a91380c7__汉堡菇__v0__4d85415b__c0.mp4,0.6457188,0.95333946,0.806917,0.3432523,0.45002595,-0.0026158112664467687,0.19198817,0.24333525,0.9700614,0.92187834,0.7486192,0.7883599,-0.0012537812291397883,0.06955169,0.14270752668380737,0.035249996930360794,0.19098932,0.95333946,0.90833896,0.7979818,0.8188313,-0.00023194917812647726,0.0497227,0.10299069,0.9784851,0.95712817,0.8913267,0.9071002,-0.0003851964893077086,0.028057234,0.4874197840690613
exact-r1__48edbebb09f4066019f3a893bd82184d9bdce8fd__爆炸菇（爆炸后）__v465__glasses__5508a275__c0.mp4,0.8907785,0.10819876,0.24169742,0.09540935,0.1071694,-0.028726316016653312,0.28283843,0.3751825,0.6671251,0.7259727,0.6178138,0.6657551,-0.012122804939511267,0.10820969,0.2339075207710266,0.1578879952430725,0.27616847,0.716674,0.76767266,0.7101859,0.716639,-0.009231936024582929,0.08030377,0.14147162,0.8559904,0.8838607,0.85172135,0.8560703,-0.005152523576506518,0.042833794,0.43235909938812256
exact-r1__ee8ee8f76cc09b62de2c6369c4fbcd0529c0add0__汉堡菇__v1498__bubble__80085a36__c0.mp4,0.48476177,0.7441534,0.7155711,0.49863696,0.5387154,-0.006590088542271027,0.12568837,0.14606136,0.8960498,0.8998791,0.84571236,0.8626893,-0.002975072373043406,0.034944694,0.051602065563201904,0.029831377789378166,0.22576034,0.8558502,0.8506879,0.75763845,0.8157768,-0.004090725551009652,0.04915705,0.10448992,0.92876303,0.92971045,0.88759863,0.9099803,-0.0022468056249995536,0.025683349,0.20927630364894867
exact-r1__a6a9bd897b2a6026ea017159b23d6fe4508c6aef__吐司菇__v1030__crown__5bf3e723__c0.mp4,0.72150373,0.26436734,0.54211944,0.25162944,0.25569165,-0.04159034126007512,0.29565218,0.17791402,0.8019706,0.8785878,0.8015498,0.8036736,-0.01016472709979937,0.0705274,0.07364273071289062,0.044538114219903946,0.4675693,0.505564,0.73672235,0.505564,0.5291757,-0.024962202892473116,0.17124973,0.1159184,0.8739028,0.923126,0.8735309,0.8743856,-0.006560444890746028,0.0458905,0.27746039628982544
exact-r1__5e7b79559f6cc44daddac102e8d214b2aa09cd33__炸虾菇__v591__coffee__6014f87c__c0.mp4,0.67421603,0.36791548,0.31525847,0.18490358,0.19689709,-0.006408640651010248,0.1310807,0.32971293,0.7435419,0.71360976,0.61034775,0.63373953,-0.004230078560090359,0.06784152,0.23617768287658691,0.16435109078884125,0.2386998,0.78164595,0.76387537,0.6539345,0.6919968,-0.003605058070699214,0.05333414,0.1250056,0.8875473,0.87796086,0.83135223,0.83556914,-0.00216404127744818,0.029035732,0.18594221770763397
base-noprop__24dc1f3ba782c8b6cd325590627ea2ed97b93833__蘑菇力__v0__e1721d9a__c0.mp4,0.33535516,0.97735375,0.8882633,0.6602255,0.75237995,-0.0036384019220299397,0.10336163,0.09530407,0.98356664,0.95902807,0.9019455,0.9173878,-0.0012173581382502628,0.03107366,0.046765267848968506,0.017950231209397316,0.16393065,0.9773537,0.93668944,0.8316499,0.8954096,-0.001791595470292744,0.046340607,0.048538864,0.98482376,0.97697836,0.94871074,0.9621481,-0.0006834798650779414,0.013411365,0.5294413566589355
exact-r1__db2ea9a59f8d9bd142cf6ccf99304afecb1195d6__汉堡菇__v1371__flag__8c1c5bef__c0.mp4,0.512614,0.75025254,0.6815553,0.46986422,0.49683556,-0.0052030642807719225,0.13625829,0.20147556,0.84609014,0.85266346,0.78637105,0.7909874,-0.0052769303086247065,0.055547293,0.07217419147491455,0.0377204604446888,0.23060513,0.78958404,0.8170988,0.7523384,0.7683537,-0.0068287593220533625,0.06005892,0.14141166,0.86476123,0.89038384,0.85009074,0.8535437,-0.005448680150179052,0.043691963,0.3198537528514862
generic__edcc9cb357e76382c3dd66231b56a5f4c6ef4e4b__毒蘑菇__v926__eyemask__c1ae514b__c0.mp4,0.7479318,0.9579179,0.49314255,0.23329097,0.23764431,-0.006864870342576927,0.296042,0.25463772,0.97420865,0.832083,0.7332194,0.7365769,-0.0022143933023859924,0.0946681,0.1572943925857544,0.09715066105127335,0.22187293,0.95995885,0.8389923,0.7593497,0.7619478,-0.0018255207025015302,0.07726097,0.09981346,0.9787511,0.9292336,0.8895441,0.8930647,-0.0008888472563664357,0.034539044,0.49336931109428406
