filename,adj_mean,adj_min,marg_drop,marg_end_drop,marg_first,marg_last,marg_lowfrac,marg_max,marg_mean,marg_min,marg_slope,marg_std,oth_mean,own_drop,own_end_drop,own_first,own_gap12,own_last,own_lowfrac,own_max,own_mean,own_min,own_slope,own_std,own_switch,src_drop,src_end_drop,src_first,src_last,src_lowfrac,src_max,src_mean,src_min,src_slope,src_std
exact-r1__c4bc889e53e3b7c097389fd3251b96bb18d2cf89__汉堡菇__v1229__glasses__4f6633c0__c0.mp4,0.9803704023361206,0.9476346969604492,0.01648748,0.01578468,-0.009598553,-0.025383234,0.21875,0.017316103,-0.0072733816,-0.026086032,-0.0006797870517301418,0.011753359,0.6280934810638428,0.06024033,0.050595164,0.65586007,0.017531631514430046,0.6052649,0.15625,0.6633081,0.62082005,0.59561974,-0.0013407312246186856,0.019833371,0.0,0.10823017,0.09318739,1.0,0.9068126,0.3125,1.0,0.94239616,0.8917698,-0.0032215478810921,0.033033982
exact-r2__f9d979263ca90b8d782fab2b3ee4583fc05533f7__爆炸菇（爆炸前）__v1573__bubble__9842ef1a__c0.mp4,0.9722028374671936,0.8932522535324097,0.0035361648,-0.014715701,-0.04809618,-0.03338048,0.15625,-0.03338048,-0.040428147,-0.051632345,7.331617110985e-05,0.004509075,0.28995317220687866,0.18748218,0.090656936,0.33524314,0.003148362971842289,0.2445862,0.21875,0.36321455,0.24952504,0.14776096,-0.006808844531539412,0.07441173,0.2903225806451613,0.4659139,0.3124051,1.0,0.6875949,0.125,1.0,0.7353,0.5340861,-0.014799193225123635,0.16024019
exact-r1__d9657e5af5e0c9e5c71b7d15425af2bf7fc9de96__炸虾菇__v1360__flag__4356cda3__c0.mp4,0.9954297542572021,0.9851586222648621,0.0152121335,0.015010774,-0.010147512,-0.025158286,0.1875,0.0020898879,-0.013473033,-0.025359645,-0.00023045603737584678,0.008260228,0.13138124346733093,0.024592832,-0.023193255,0.11204417,0.012140936218202114,0.13523743,0.21875,0.1470519,0.117908195,0.08745134,0.0005670874570755864,0.014741812,0.16129032258064516,0.04159993,0.027020216,0.9999999,0.97297966,0.09375,0.9999999,0.97753364,0.95839995,-0.0008876200688898809,0.012287167
base-noprop__c3ad0151cf012ab92fe134a98d4a74d428a02c98__汉堡菇__v0__95b484d7__c0.mp4,0.9929953813552856,0.9733211398124695,0.0049435794,0.003960222,0.029321045,0.025360823,0.28125,0.07505152,0.049883425,0.024377465,-0.0009533670618911622,0.017459942,0.3576584756374359,0.0018104315,-0.019662768,0.3747045,0.002353622578084469,0.39436728,0.09375,0.43190908,0.40754193,0.37289408,-0.00030802404972289264,0.013457211,0.25806451612903225,0.091009915,0.0074614286,1.0000001,0.9925387,0.15625,1.0000001,0.9597471,0.9089902,0.0014267226140345535,0.028472401
base-noprop__701e58d8fd0b9629cc0d3b9aec0136dcfd79a9f4__爆炸菇（爆炸前）__v0__939efe02__c0.mp4,0.9607155323028564,0.9279745221138,0.0020043254,-0.012398183,0.0040979236,0.016496107,0.21875,0.025772363,0.012869076,0.0020935982,6.899558816137942e-05,0.0059080156,0.14707398414611816,0.04557032,-0.023544699,0.14930946,0.0031229134183377028,0.17285416,0.15625,0.22467992,0.15994306,0.103739135,0.0008049588513907478,0.027464457,0.12903225806451613,0.08822334,0.08033371,1.0,0.9196663,0.125,1.0,0.94237685,0.91177666,-0.0019731467857388536,0.020981278
base-noprop__1df7005fbb426ec84155f9de604e394437faec56__蘑菇力__v0__3d516394__c0.mp4,0.9989476799964905,0.9961565136909485,0.0050858557,0.0026949644,-0.081537805,-0.08423277,0.15625,-0.078008376,-0.08298973,-0.08662366,-5.279010014275538e-05,0.0019088938,0.13814792037010193,0.0023450032,0.0014292896,0.054446436,0.01073017343878746,0.053017147,0.0625,0.06465379,0.055158194,0.052101433,-6.72920523730264e-05,0.0027035542,0.0,0.011514246,0.009485483,1.0000001,0.99051464,0.0625,1.0000001,0.9920528,0.9884859,-0.0002256457603746579,0.0025375723
exact-r1__4b73dcb962cbfd0a121d5292b514c93b57ca1509__粽子菇__v481__glasses__fc5a00e3__c0.mp4,0.9668926000595093,0.8669426441192627,0.0077697933,-0.0058549047,0.034204394,0.0400593,0.15625,0.058713764,0.04085567,0.0264346,-0.00024528427819702175,0.007760021,0.2754344940185547,0.09049098,0.09038429,0.32469448,0.016204344108700752,0.2343102,0.15625,0.44644424,0.31629014,0.2342035,-0.004169644184323165,0.05731467,0.0,0.22878927,0.22878927,0.99999994,0.7712107,0.1875,0.99999994,0.8805192,0.7712107,-0.007286244320554788,0.07105394
base-props__ef01e3e16837353e5fa278ba9d8c3a02e714ae93__毒蘑菇__v931__eyemask__80d334ac__c0.mp4,0.9877084493637085,0.9559429883956909,0.010180742,-0.012917697,0.0057264864,0.018644184,0.15625,0.04142362,0.017348561,-0.004454255,0.0007003695810557809,0.010452901,0.3403565585613251,0.02958861,-0.03672114,0.3361389,0.012561229057610035,0.37286004,0.125,0.4116653,0.35770512,0.3065503,0.0016733665030198403,0.02504315,0.0,0.06390828,0.055126548,1.0,0.94487345,0.25,1.0,0.9594149,0.9360917,-0.0016272600270436054,0.016896134
exact-r1__f4391007a9614180b36c5a425ae726846b1ea5a6__蘑菇力__v1539__eyemask__009061a7__c0.mp4,0.9951947927474976,0.9539309740066528,0.0003895983,-0.0025115982,-0.0129446015,-0.010433003,0.09375,-0.00018948317,-0.010558119,-0.0133342,0.0001226718253469708,0.0023652362,0.10889455676078796,0.0031588078,-0.00067831576,0.09149498,0.0015192539431154728,0.09217329,0.09375,0.13190937,0.09833644,0.08833617,0.00014904251628039355,0.0076470305,0.16129032258064516,0.05390185,0.018987715,1.0,0.9810123,0.03125,1.0,0.9871368,0.94609815,-0.0007688710438715445,0.010778622
exact-r2__15f75abcba4174a7e03174d2ba8fa27b95e7f5ff__蘑菇力__v140__glasses__5c91f6c0__c0.mp4,0.96949303150177,0.8825520873069763,0.065416485,0.032017976,0.016268194,-0.015749782,0.0625,0.018784344,-0.0045611737,-0.04914829,-0.001086934685401203,0.015470142,0.4119468331336975,0.10169271,0.036011994,0.4451373,0.00903250090777874,0.4091253,0.1875,0.46895677,0.40738568,0.3434446,-0.0012479727142804399,0.030496737,0.0,0.2926818,0.13926446,1.0000001,0.86073565,0.3125,1.0000001,0.8737117,0.7073183,-0.007311349521634129,0.095894255
