rel,style,group,s_top1_fg_max,s_top1_fg_p75,s_top1_fg_mean,s_top1_all_max,s_top1_all_p75,s_top1_all_mean,s_top5_fg_max,s_top5_fg_p75,s_top5_fg_mean,s_top5_all_max,s_top5_all_p75,s_top5_all_mean,s_hist_max,s_hist_p75,s_hist_mean
基础款/7518.mp4,基础款,bad,0.4437255859375,0.4297943115234375,0.41826629638671875,0.5340052843093872,0.4887738898396492,0.48412867821753025,0.374166339635849,0.3653862252831459,0.34932960383594036,0.44882380962371826,0.4402950555086136,0.43486022762954235,0.37763546798029557,0.34219211822660095,0.3185995543894719
基础款/7566.mp4,基础款,bad,0.490509033203125,0.4559783935546875,0.44867706298828125,0.5046735405921936,0.499407097697258,0.487213134765625,0.4101860225200653,0.3906547799706459,0.3854277227073908,0.42932847142219543,0.42092715203762054,0.41255996003746986,0.45474137931034486,0.4351053639846743,0.4187589798850575
花花款/7569.mp4,花花款,bad,0.4552176296710968,0.4446629211306572,0.43081011064350605,0.4818463921546936,0.473358154296875,0.4692535437643528,0.4064812958240509,0.3998420536518097,0.3957937303930521,0.44085693359375,0.42893174290657043,0.4273946452885866,0.5251989389920424,0.4932108121763294,0.4708159640786108
基础款/7580.mp4,基础款,bad,0.4481201171875,0.4392242431640625,0.4352442417293787,0.4700579047203064,0.4636404886841774,0.46070643700659275,0.4062383770942688,0.39845629036426544,0.3942883610725403,0.4330049455165863,0.4282388240098953,0.4232599623501301,0.5060025542784163,0.46574530195219854,0.4566905501135584
基础款/7586.mp4,基础款,bad,0.3883056640625,0.37725830078125,0.37354278564453125,0.5614537000656128,0.5587420016527176,0.552113126963377,0.33706429600715637,0.33356456458568573,0.33120862767100334,0.5239401459693909,0.5207196325063705,0.5174861252307892,0.5398193760262726,0.5119731800766283,0.5017675834701696
星月款/7588.mp4,星月款,bad,0.612152099609375,0.5878448486328125,0.5747315548360348,0.6267438530921936,0.6137564331293106,0.5934448204934597,0.5663074254989624,0.5480729043483734,0.5329662021249533,0.5999324917793274,0.5858181416988373,0.5669652223587036,0.561941251596424,0.5208901231202581,0.4997967146016025
基础款/7591.mp4,基础款,bad,0.4903738796710968,0.4793199822306633,0.46157537028193474,0.4776785671710968,0.4663129448890686,0.45471518486738205,0.4211086630821228,0.4084896519780159,0.4007824007421732,0.4136388301849365,0.406336173415184,0.4009814541786909,0.45721583652618136,0.428301404853129,0.3815964240102171
基础款/7592.mp4,基础款,bad,0.4337022602558136,0.4173312783241272,0.4148719869554043,0.4351632297039032,0.4290248230099678,0.42502811923623085,0.37668776512145996,0.3712998479604721,0.36853049136698246,0.39557960629463196,0.39154233038425446,0.3872413635253906,0.3734422533471285,0.36368269067436726,0.3509760079617392
基础款/7595.mp4,基础款,bad,0.4833007752895355,0.4686950668692589,0.4638168327510357,0.4749232828617096,0.4638366773724556,0.4602573923766613,0.42727425694465637,0.4206914082169533,0.41471513733267784,0.4257848262786865,0.4168521612882614,0.4129773285239935,0.4388640973630831,0.3963546798029557,0.37813365959410583
潜水款/7605.mp4,潜水款,bad,0.4770779013633728,0.46079254150390625,0.4557846914976835,0.5032261610031128,0.4931945726275444,0.48738316260278225,0.4197942614555359,0.41073591262102127,0.40648373775184155,0.45140165090560913,0.44796034693717957,0.444966034963727,0.5795073891625615,0.5465004014350031,0.5293758078909684
基础款/5629.mp4,基础款,bad,0.48272705078125,0.4151153564453125,0.4002443943172693,0.523193359375,0.4637669175863266,0.4428144171833992,0.40122947096824646,0.3520914763212204,0.3395430315285921,0.45616239309310913,0.39822836220264435,0.39157283678650856,0.5376026272577997,0.4851296642319234,0.47354080861867914
甜品款/5643.mp4,甜品款,bad,0.484832763671875,0.4596099853515625,0.4570178985595703,0.4968436062335968,0.4770115464925766,0.4747848529368639,0.4408881962299347,0.42149390280246735,0.4149226248264313,0.4578893184661865,0.4485724940896034,0.44755576364696026,0.4521072796934866,0.4152843708016122,0.4096048594577132
