i,mean3,s42,s101,s202,cfg
34,0.2942,0.2988,0.2943,0.2895,"{""num_leaves"": 15, ""n_estimators"": 350, ""learning_rate"": 0.032, ""min_child_samples"": 90, ""scale_pos_weight"": 1.6, ""feature_fraction"": 0.8, ""bagging_fraction"": 0.85}"
35,0.2977,0.3072,0.3054,0.2806,"{""num_leaves"": 7, ""n_estimators"": 122, ""learning_rate"": 0.08, ""min_child_samples"": 90, ""scale_pos_weight"": 1.3, ""feature_fraction"": 0.65, ""bagging_fraction"": 0.99}"
36,0.2899,0.2948,0.2846,0.2903,"{""num_leaves"": 23, ""n_estimators"": 260, ""learning_rate"": 0.08, ""min_child_samples"": 40, ""scale_pos_weight"": 1.3, ""feature_fraction"": 0.8, ""bagging_fraction"": 0.85}"
37,0.285,0.2939,0.2872,0.2739,"{""num_leaves"": 7, ""n_estimators"": 350, ""learning_rate"": 0.05, ""min_child_samples"": 60, ""scale_pos_weight"": 1.0, ""feature_fraction"": 0.5, ""bagging_fraction"": 0.85}"
38,0.3076,0.3107,0.316,0.2961,"{""num_leaves"": 5, ""n_estimators"": 350, ""learning_rate"": 0.02, ""min_child_samples"": 90, ""scale_pos_weight"": 1.3, ""feature_fraction"": 0.5, ""bagging_fraction"": 0.99}"
39,0.3066,0.3054,0.3081,0.3063,"{""num_leaves"": 5, ""n_estimators"": 80, ""learning_rate"": 0.032, ""min_child_samples"": 40, ""scale_pos_weight"": 1.07, ""feature_fraction"": 0.35, ""bagging_fraction"": 0.7}"
40,0.3163,0.3236,0.3116,0.3138,"{""num_leaves"": 15, ""n_estimators"": 80, ""learning_rate"": 0.02, ""min_child_samples"": 130, ""scale_pos_weight"": 1.0, ""feature_fraction"": 0.5, ""bagging_fraction"": 0.7}"
41,0.2915,0.2926,0.2846,0.2974,"{""num_leaves"": 15, ""n_estimators"": 180, ""learning_rate"": 0.05, ""min_child_samples"": 40, ""scale_pos_weight"": 1.07, ""feature_fraction"": 0.65, ""bagging_fraction"": 0.85}"
42,0.3082,0.3129,0.3134,0.2983,"{""num_leaves"": 23, ""n_estimators"": 180, ""learning_rate"": 0.032, ""min_child_samples"": 130, ""scale_pos_weight"": 1.0, ""feature_fraction"": 0.5, ""bagging_fraction"": 0.85}"
43,0.2962,0.2957,0.2943,0.2988,"{""num_leaves"": 10, ""n_estimators"": 260, ""learning_rate"": 0.032, ""min_child_samples"": 90, ""scale_pos_weight"": 1.3, ""feature_fraction"": 0.65, ""bagging_fraction"": 0.85}"
44,0.2829,0.2841,0.2801,0.2846,"{""num_leaves"": 10, ""n_estimators"": 350, ""learning_rate"": 0.08, ""min_child_samples"": 90, ""scale_pos_weight"": 1.07, ""feature_fraction"": 0.5, ""bagging_fraction"": 0.85}"
45,0.3029,0.3165,0.2979,0.2943,"{""num_leaves"": 7, ""n_estimators"": 122, ""learning_rate"": 0.05, ""min_child_samples"": 20, ""scale_pos_weight"": 1.6, ""feature_fraction"": 0.5, ""bagging_fraction"": 0.7}"
46,0.3135,0.3005,0.324,0.316,"{""num_leaves"": 15, ""n_estimators"": 122, ""learning_rate"": 0.032, ""min_child_samples"": 60, ""scale_pos_weight"": 1.0, ""feature_fraction"": 0.65, ""bagging_fraction"": 0.7}"
47,0.2954,0.2965,0.2895,0.3001,"{""num_leaves"": 10, ""n_estimators"": 350, ""learning_rate"": 0.05, ""min_child_samples"": 20, ""scale_pos_weight"": 1.0, ""feature_fraction"": 0.8, ""bagging_fraction"": 0.7}"
48,0.3121,0.3134,0.3214,0.3014,"{""num_leaves"": 5, ""n_estimators"": 260, ""learning_rate"": 0.032, ""min_child_samples"": 90, ""scale_pos_weight"": 1.3, ""feature_fraction"": 0.8, ""bagging_fraction"": 0.7}"
49,0.3026,0.3001,0.3112,0.2965,"{""num_leaves"": 15, ""n_estimators"": 80, ""learning_rate"": 0.08, ""min_child_samples"": 60, ""scale_pos_weight"": 1.07, ""feature_fraction"": 0.35, ""bagging_fraction"": 0.7}"
